task,category
vacuum the floors and edges,general
do a load of laundry,general
buy any necessary cleaning items,general
clean all doorknobs and light switches,general
clean out the fridge (food and shelves),kitchen
clean exterior kitchen cabinets and handles,kitchen
clean interior kitchen cabinets and drawers,kitchen
clean kitchen counter and stove top,kitchen
clean and organize counter top appliances,kitchen
do the dishes,kitchen
kitchen trolley (remove items & clean & reorganize),kitchen
take out the glass and paper,kitchen
go through all food and drinks,declutter
empty and clean kitchen sink,kitchen
clean out the couch cushions,living_room
wipe down all living room surfaces,living_room
wipe down all dining room surfaces,dining room
organize and clean the nightstand,bedroom
clean the sink and mirror,bathroom
clean the toilet,bathroom
mop bathroom and toilet floor,bathroom
wipe all bathroom surfaces (washer & rack),bathroom
empty bathroom & toilet trash bins,bathroom
clean the shower,deep_clean
clean the microwave oven,deep_clean
clean kitchen steam catcher,deep_clean
wipe down the blinds,deep_clean
find an item to sell/donate/throw out,declutter
change bed sheets,bedroom
clean out old toiletries,declutter
declutter the art closet,dining room
clean the washing machine,bathroom
clean shoe closet,dining room
clean mirrors with glass cleaner,general
take out the trash and recycling,kitchen
clean the trash can,kitchen
